VPN,VPN Affiliate Link,Honest Marketing,Jurisdiction,Outside 14 Eyes,Transparency Report,Warrant Canary,Logging Policy,Diskless,Open Source Clients,No Analytics,Max Data Encryption,Max Handshake Encryption,OpenVPN,Wireguard,Killswitch,IPV6 Protection,2FA,Audits,1st-Party DNS,Custom DNS,Anon Payment,Anon Registration,1st-Party Servers,P2P Friendly,Multihop,Port Forwarding,Connect on Boot,Helps Privacy Causes,Affiliate Program,Total Servers,Total Countries,Simultaneous Devices,Windows Client,MacOS Client,Linux Client,Android Client,Native F-Droid Client,iOS Client,History,Official web
IVPN,None,Yes,Gibraltar🇬🇮,Yes,Yes,Yes,No Logs,No,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DoH,Cash/XMR/Crypto,Yes,No,Yes,Pro,No,Yes,Yes,No,165,37,7,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/ivpn,https://www.ivpn.net
Mullvad,None,Yes,Sweden🇸🇪,No,No,No,No Logs,Yes,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,No,Yes,Yes,IPV6,Cash/XMR/Crypto,Yes,Some,Yes,Yes,No,Yes,Yes,No,634,48,5,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/mullvad,https://mullvad.net
ProtonVPN,https://go.getproton.me/SH12P,Yes,Switzerland🇨🇭,Yes,Yes,No,No Logs,No,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,IPV4,Cash/Crypto,No,106 (Secure Core),Paid Tiers,Paid Tiers,Paid Tiers,Yes,Yes,Yes,11191,117,10,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/protonvpn,https://protonvpn.com
Windscribe,None,Yes,Canada🇨🇦,No,Yes,No,No Logs,Yes,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,DoH,XMR/Crypto,Yes,Some (Canada),Yes,Yes,Pro/Purchased static IP,Yes,Yes,No,??,69,Unlimited,Yes,Yes,GUI,Yes,Yes,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/windscribe,https://windscribe.com
AirVPN,None,Yes,Italy🇮🇹,No,No,No,No Logs,Yes,Yes,Yes,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,XMR/Crypto,Yes,No,Yes,No,Yes,Yes,Yes,Yes,256,23,5,Yes,Yes,GUI,Yes,No,No,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/airvpn,https://airvpn.org
AzireVPN,None,Yes,Sweden🇸🇪,No,No,Yes,No Logs,Yes,No,Yes,AES 256,DHE 4096,Yes,Yes,Yes,Yes,No,No,Yes,Yes,XMR/Crypto,Yes,Yes,Yes,??,Yes,??,No,No,76,19,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/azirevpn,https://www.azirevpn.com/
Surfshark,None,No,Netherlands🇳🇱,No,Yes,Yes,No Logs,Yes,No,No,AES 256,3072-bit Diffie Hellmann,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,XMR/Crypto,No,No,Yes,Yes,No,Yes,Yes,Yes,3200,100,Unlimited,Yes,Yes,GUI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/surfshark,https://surfshark.com
NordVPN,None,Yes,Panama🇵🇦,Yes,Yes,Yes,No Logs,Yes,No,No,AES 256,RSA 4096,Yes,Yes,Yes,Yes,Yes,Yes,Yes,??,Crypto,No,Some,Yes,Yes,No,Yes,Yes,Yes,6500,113,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/nordvpn,https://nordvpn.com
RiseupVPN,None,Yes,USA🇺🇸,No,No,Yes,No Logs,??,Yes,Yes,??,??,Yes,No,??,??,No,No,Yes,??,Crypto,Yes,Yes,Yes,No,No,??,Yes,No,16,4,Unlimited,Yes,Yes,GUI,Yes,Yes,No,None,https://riseup.net/en/vpn
VyprVPN,None,Yes,USA🇺🇸,No,No,No,No Logs,No,No,No,AES 256,RSA 2048,Yes,Yes,Yes,Yes,No,Yes,Yes,??,No,No,Yes,Yes,No,No,Yes,No,Yes,700,64,10,Yes,Yes,CLI,Yes,No,Yes,https://embed.kumu.io/9ced55e897e74fd807be51990b26b415#vpn-company-relationships/vyprvpn,https://www.vyprvpn.com
